Name,X,Y,Angle,Value,Package
J1,4.06,0.00,270.00,USB-C_SIMPLE,GCT_USB4125-GF-A_REVA2
J2,16.75,-0.05,0.00,BATTERY_CONTACT_SINGLE,BH-129A-5
J3,51.55,0.05,180.00,BATTERY_CONTACT_SINGLE,BH-129A-5
S1,67.69,0.00,0.00,,6X6X4.3_SMD
